1900-1909 MONTHLY VOLCANIC FORCING IN 45-DEGREE-LAT BANDS FROM N TO S
    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1
   53   80  123  167  210  147   83   20   97  173  250  472
   53   80  123  167  210  147   83   20   97  173  250  472
   27   40   62   83  105   73   42   10   48   87  125  236
   27   40   62   83  105   73   42   10   48   87  125  236
  693  915  988 1062 1135  907  678  450  472  493  515  543
  693  915  988 1062 1135  907  678  450  472  493  515  543
  347  457  494  531  567  453  339  225  236  247  257  272
  347  457  494  531  567  453  339  225  236  247  257  272
  572  600  600  600  600  435  270  105  103  102  100  177
  572  600  600  600  600  435  270  105  103  102  100  177
  286  300  300  300  300  217  135   52   52   51   50   88
  286  300  300  300  300  217  135   52   52   51   50   88
  253  330  377  423  470  137    1    1    1    1  200  217
  253  330  377  423  470  137    1    1    1    1  200  217
  127  165  188  212  235   68    1    1    1    1  100  108
  127  165  188  212  235   68    1    1    1    1  100  108
  233  250  240  230  220   70    1    1    1  102  100  100
  233  250  240  230  220   70    1    1    1  102  100  100
  117  125  120  115  110   35    1    1    1   51   50   50
  117  125  120  115  110   35    1    1    1   51   50   50
   80  120  237  353  470  487  503  520  480  440  400  533
    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1
  667  800  600  400  200   93    1    1    1    1    1   67
    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1
  183  300  260  220  180    1    1    1    1    1    1   77
    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1

     -----     -----     -----     -----     -----
  NOTE: data in (12 months) by (4 lat-zones) by (10 years)
        to get actual values of optical depth use a factor of 1.e-4
