1890-1899 MONTHLY VOLCANIC FORCING IN 45-DEGREE-LAT BANDS FROM N TO S
  540  650  703  757  810  547  283   20  320  620  920 1053
  540  650  703  757  810  547  142   10  160  310  460  527
  540  650  703  757  810  547    1    1    1    1    1    1
  540  650  703  757  810  547    1    1    1    1    1    1
 1187 1320 1153  987  820  563  307   50  250  450  650  673
  593  660  577  493  410  282  153   25  125  225  325  337
    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1
  697  720  820  920 1020  563  107    1    1  103  330  330
  348  360  410  460  510  282   53    1    1   52  165  165
    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1
  142   10  160  310  460  527  593  660  577  493  410  282
  283   20  320  620  920 1053 1187 1320 1153  987  820  563
    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1
  153   25  125  225  325  337  348  360  410  460  510  282
  307   50  250  450  650  673  697  720  820  920 1020  563
    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1
   53    1    1   52  165  165    1    1    1    1    1    1
  107    1    1  103  330  330    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1

     -----     -----     -----     -----     -----
  NOTE: data in (12 months) by (4 lat-zones) by (10 years)
        to get actual values of optical depth use a factor of 1.e-4
