1910-1919 MONTHLY VOLCANIC FORCING IN 45-DEGREE-LAT BANDS FROM N TO S
  153  230  223  217  210    1    1    1    1    1    1   10
    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1
   70  130  110   90   70   23    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1
   30  120  120  120  120  837 1553 2270 2023 1777 1530 1230
    1    1   10   20   30  213  397  580  583  587  590  650
    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1
  930  630  847 1063 1280  853  427    1    1    1    1    1
  710  770  613  457  300  223  147   70  147  223  300  300
    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1
  300  300  287  273  260  157   53    1    7   63  120   80
    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1
   40    1    1    1    1    1    1    1    7   53  100  100
    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1
   20   10   10    1   10   10   20   20   30   30   40   40
   20   10   10    1   10   10   20   20   30   30   40   40
   20   10   10    1   10   10   20   20   30   30   40   40
   20   10   10    1   10   10   20   20   30   30   40   40
   50   40   40   30   20   20   10   10    1   10   10   20
   50   40   40   30   20   20   10   10    1   10   10   20
   50   40   40   30   20   20   10   10    1   10   10   20
   50   40   40   30   20   20   10   10    1   10   10   20
   30   30   40   30   20   20   10    1   10   10   20   20
   30   30   40   30   20   20   10    1   10   10   20   20
   30   30   40   30   20   20   10    1   10   10   20   20
   30   30   40   30   20   20   10    1   10   10   20   20
   20   30   40   40   30   20   10    1    1    1    1    1
   20   30   40   40   30   20   10    1    1    1    1    1
   20   30   40   40   30   20   10    1    1    1    1    1
   20   30   40   40   30   20   10    1    1    1    1    1

     -----     -----     -----     -----     -----
  NOTE: data in (12 months) by (4 lat-zones) by (10 years)
        to get actual values of optical depth use a factor of 1.e-4
