1976-2006 CO2 CLIMATOLOGY 24  12  LON/LAT (N-S/0-360E) IN 15 DEGREE RESOLUTION,  GLB ANNUAL MEAN = 355.48  GROWTH RATE =  1.6  MISS DATA = -99.99
   -.92   -.90   -.82   -.73   -.60   -.66   -.67   -.88   -.97   -.96  -1.02   -.95   -.75   -.76   -.74   -.61   -.62   -.78  -1.41  -1.27  -1.06   -.99   -.94   -.96
   -.88   -.89   -.98  -1.05   -.90   -.68   -.78   -.91   -.96  -1.02  -1.05  -1.05   -.78   -.80   -.88   -.88   -.75   -.97  -1.22  -1.27  -1.15   -.96   -.88   -.88
   -.88   -.89   -.90   -.92   -.87   -.87   -.89   -.91   -.89   -.88   -.95   -.88   -.88   -.88   -.88   -.88   -.88   -.88  -1.05  -1.22  -1.05   -.91   -.88   -.88
   -.88   -.88   -.88   -.88   -.88   -.88   -.88   -.88   -.88   -.88   -.88   -.88   -.88   -.88   -.88   -.88   -.88   -.88   -.88   -.88   -.88   -.88   -.88   -.88
 MONTH =  2 CO2 (PPMV) MONTHLY DEVIATION,    GLOBAL MEAN =    .87
   3.58   3.58   3.58   3.58   3.58   3.58   3.58   3.58   3.58   3.58   3.58   3.58   3.58   3.58   3.58   3.58   3.58   3.58   3.58   3.58   3.58   3.58   3.58   3.58
   3.79   3.67   4.23   3.92   3.60   3.60   3.60   3.56   3.56   3.56   3.57   3.65   3.68   3.80   3.68   3.37   3.55   3.55   3.77   3.57   3.53   3.31   3.47   3.62
   4.77   4.83   3.57   3.19   2.94   2.60   2.33   3.52   2.44   1.56   3.68   3.73   3.67   3.54   3.35   2.74   2.38   3.51   3.32   3.26   3.57   3.11   2.98   4.61
   4.41   4.35   3.09   2.10   2.66   2.66   2.17   2.58   1.65    .77   1.04   3.13   1.28   1.57   1.62   2.23   2.08   2.52   2.28   2.60   3.33   2.56   1.83   3.92
   3.68   4.01   2.86   1.71   2.55   2.55   2.00   1.94   1.33    .73    .85   1.05    .95    .32    .58   1.47   1.86   1.64   1.49   1.74   2.07   1.83   1.69   2.47
   1.91   2.26   2.09   1.39   1.25   2.00   1.45    .90    .60    .33    .65    .39    .17   -.11    .07    .58   1.31   1.46   1.43   1.30   1.67   1.38   1.22    .13
    .13    .55    .67    .68    .71    .27    .36    .39    .13   -.05    .05   -.17   -.17   -.09   -.05    .01    .54    .38   1.33   1.11   1.16    .38   -.70   -.50
  -1.11   -.64    .28    .73    .15   -.37   -.30   -.48   -.81   -.81   -.80   -.60   -.13   -.02   -.03   -.18   -.16   -.21    .12   -.82    .54   -.36  -1.11  -1.09
   -.99   -.95   -.70   -.63   -.57   -.63   -.58   -.86   -.94   -.93   -.97   -.84   -.76   -.75   -.73   -.73   -.77   -.92  -1.45  -1.29  -1.04  -1.05  -1.04  -1.05
   -.96   -.94  -1.07  -1.16  -1.02   -.70   -.82  -1.00   -.98   -.97  -1.01  -1.02   -.76   -.85   -.99   -.99   -.88  -1.04  -1.24  -1.29  -1.19  -1.03   -.99   -.99
   -.99   -.98   -.96  -1.03  -1.02  -1.00  -1.00  -1.00  -1.00   -.99  -1.01   -.99   -.99   -.99   -.99   -.99   -.99   -.99  -1.13  -1.28  -1.10  -1.00   -.99   -.99
   -.99   -.99   -.99   -.99   -.99   -.99   -.99   -.99   -.99   -.99   -.99   -.99   -.99   -.99   -.99   -.99   -.99   -.99   -.99   -.99   -.99   -.99   -.99   -.99
 MONTH =  3 CO2 (PPMV) MONTHLY DEVIATION,    GLOBAL MEAN =   1.16
   4.19   4.19   4.19   4.19   4.19   4.19   4.19   4.19   4.19   4.19   4.19   4.19   4.19   4.19   4.19   4.19   4.19   4.19   4.19   4.19   4.19   4.19   4.19   4.19
   4.27   4.09   4.58   4.42   4.25   4.25   4.14   4.11   4.12   4.14   4.18   4.35   4.20   4.22   4.20   3.81   4.19   4.18   4.50   4.16   4.14   4.03   3.99   4.18
   3.72   2.91   2.92   3.52   3.64   3.34   3.29   4.14   2.99   1.68   4.48   4.54   4.43   4.21   3.81   2.76   2.77   3.95   4.16   3.86   3.74   3.76   3.46   4.29
   4.36   3.50   2.82   2.74   3.09   3.08   3.13   3.52   2.34   1.12   1.42   4.00   1.96   2.47   2.16   2.29   2.66   2.68   2.80   3.20   3.40   3.02   2.84   3.95
   3.73   3.68   2.72   1.97   2.88   3.15   3.17   2.58   2.08   1.34   1.44   1.77   1.67   1.30   1.77   2.42   2.61   2.19   2.23   2.40   2.50   2.54   2.49   2.33
   1.54   2.07   1.54   1.73   1.86   2.71   2.47   1.77   1.46   1.16   1.39    .84    .64    .71   1.12   1.73   1.97   2.13   2.04   1.96   2.35   1.99   1.88   -.79
   -.79    .14    .92    .75    .81    .31    .58    .93    .70    .52    .41   -.11   -.11    .23    .68    .59    .88    .77   1.86   1.76   1.80    .70   -.78   -.94
  -1.10   -.63    .37    .79    .14   -.58   -.41   -.51   -.88   -.87   -.87   -.62   -.26    .00    .15   -.04   -.06    .02    .52   -.21   1.10   -.23  -1.31  -1.29
  -1.00   -.89   -.62   -.52   -.63   -.70   -.68   -.76   -.84   -.83   -.84   -.77   -.70   -.65   -.71   -.85   -.89  -1.04  -1.23  -1.04   -.86   -.99  -1.15  -1.16
   -.94   -.89   -.99  -1.00   -.95   -.71   -.82   -.98   -.90   -.86   -.90   -.86   -.75   -.87   -.99   -.99   -.94   -.98  -1.02  -1.04  -1.04  -1.01   -.99   -.99
   -.99   -.98   -.98  -1.01  -1.05  -1.02   -.98   -.98   -.98   -.99   -.98   -.99   -.99   -.99   -.99   -.99   -.99   -.99  -1.04  -1.10  -1.07  -1.01   -.99   -.99
   -.99   -.99   -.99   -.99   -.99   -.99   -.99   -.99   -.99   -.99   -.99   -.99   -.99   -.99   -.99   -.99   -.99   -.99   -.99   -.99   -.99   -.99   -.99   -.99
 MONTH =  4 CO2 (PPMV) MONTHLY DEVIATION,    GLOBAL MEAN =   1.36
   4.46   4.46   4.46   4.46   4.46   4.46   4.46   4.46   4.46   4.46   4.46   4.46   4.46   4.46   4.46   4.46   4.46   4.46   4.46   4.46   4.46   4.46   4.46   4.46
   4.33   3.94   4.59   4.53   4.47   4.47   4.49   4.48   4.48   4.48   4.48   4.77   4.48   4.48   4.48   4.22   4.38   4.38   4.46   4.45   4.42   4.35   4.60   4.30
   2.86    .77   2.50   3.62   3.81   3.47   4.24   4.93   4.01   2.94   5.02   5.14   5.15   4.96   4.48   3.40   3.24   3.65   4.01   3.93   3.88   4.14   4.02   4.09
   3.98   1.91   2.96   3.54   3.52   3.52   4.18   4.12   3.27   2.25   2.34   4.71   3.18   3.52   3.02   2.86   3.10   2.70   2.91   3.50   3.43   3.66   3.66   3.98
   3.63   2.81   2.59   1.76   3.29   3.28   3.45   2.93   2.49   2.14   2.32   2.81   2.92   2.49   2.97   3.35   3.31   2.57   2.74   2.90   3.11   3.07   3.10   2.64
   1.65   1.54    .52    .73    .44   2.52   2.65   2.17   1.99   1.82   2.02   1.26   1.11   1.33   2.04   2.49   2.70   2.59   2.60   2.70   3.03   2.66   2.47   -.79
   -.79   -.37   -.22   -.31   -.19   -.18    .50   1.41   1.15    .99    .72   -.30   -.30    .36   1.18   1.22   1.45   1.35   2.45   2.50   2.52   1.19   -.62   -.87
   -.85   -.65   -.36   -.27   -.45   -.76   -.56   -.51   -.83   -.83   -.95  -1.06  -1.25   -.91   -.59   -.65   -.08    .54   1.30    .53   1.75    .17  -1.17  -1.16
   -.79   -.73   -.61   -.59   -.70   -.75   -.77   -.73   -.76   -.77   -.78   -.76   -.98  -1.16  -1.08   -.84   -.88  -1.02   -.96   -.72   -.56   -.77   -.99   -.99
   -.76   -.73   -.79   -.78   -.81   -.73   -.76   -.83   -.77   -.75   -.79   -.77   -.78   -.72   -.82   -.82   -.85   -.77   -.72   -.72   -.78   -.79   -.82   -.82
   -.82   -.81   -.81   -.82   -.89   -.85   -.82   -.83   -.82   -.82   -.81   -.82   -.82   -.82   -.82   -.82   -.82   -.82   -.81   -.81   -.83   -.82   -.82   -.82
   -.82   -.82   -.82   -.82   -.82   -.82   -.82   -.82   -.82   -.82   -.82   -.82   -.82   -.82   -.82   -.82   -.82   -.82   -.82   -.82   -.82   -.82   -.82   -.82
 MONTH =  5 CO2 (PPMV) MONTHLY DEVIATION,    GLOBAL MEAN =   1.23
   4.49   4.49   4.49   4.49   4.49   4.49   4.49   4.49   4.49   4.49   4.49   4.49   4.49   4.49   4.49   4.49   4.49   4.49   4.49   4.49   4.49   4.49   4.49   4.49
   3.37   2.75   3.85   4.11   4.36   4.36   4.43   4.54   4.54   4.54   4.54   4.70   4.63   4.72   4.63   4.48   4.58   4.59   4.16   4.55   4.48   4.23   4.17   3.29
  -1.03  -2.70    .38   2.58   3.03   2.36   3.66   4.11   4.11   3.35   4.81   4.83   4.70   4.61   4.36   3.66   3.05   2.78   2.75   2.81   3.12   3.78   3.21   1.66
    .80  -1.10    .63   2.63   2.42   2.42   3.54   3.68   3.75   2.93   3.02   4.47   3.46   3.62   2.96   2.64   2.69   2.27   1.89   2.46   2.51   3.18   2.96   1.71
   1.61    .26    .35    .21   2.39   2.50   3.59   3.12   3.07   2.70   2.79   3.19   3.36   3.03   3.32   3.23   3.05   2.24   2.36   2.48   2.96   2.67   2.63   1.92
    .92    .13   -.94   -.41   -.11   2.39   2.84   2.30   2.20   2.37   2.45   1.41   1.11   1.17   2.24   2.50   2.65   2.28   2.33   2.95   2.94   2.70   2.32   -.71
   -.71   -.83  -1.06  -1.09  -1.03   -.67    .14   1.51   1.52   1.63   1.03   -.44   -.44    .25   1.22   1.26   1.63   1.31   2.23   2.89   2.50   1.26   -.45   -.62
   -.50   -.60   -.87  -1.06   -.87   -.68   -.61   -.40   -.50   -.50   -.45   -.45   -.49   -.19    .25    .26    .53    .74   1.42   1.06   1.88    .66   -.59   -.58
   -.47   -.48   -.52   -.62   -.62   -.60   -.61   -.58   -.51   -.51   -.44   -.41   -.34   -.33   -.40   -.65   -.67   -.59   -.31   -.39   -.25   -.49   -.56   -.52
   -.51   -.48   -.54   -.54   -.58   -.61   -.61   -.60   -.54   -.50   -.45   -.35   -.39   -.51   -.57   -.57   -.62   -.50   -.40   -.39   -.48   -.52   -.57   -.57
   -.57   -.56   -.55   -.56   -.59   -.58   -.59   -.60   -.59   -.57   -.54   -.57   -.57   -.57   -.57   -.57   -.57   -.57   -.53   -.49   -.54   -.56   -.57   -.57
   -.57   -.57   -.57   -.57   -.57   -.57   -.57   -.57   -.57   -.57   -.57   -.57   -.57   -.57   -.57   -.57   -.57   -.57   -.57   -.57   -.57   -.57   -.57   -.57
 MONTH =  6 CO2 (PPMV) MONTHLY DEVIATION,    GLOBAL MEAN =    .25
   2.31   2.31   2.31   2.31   2.31   2.31   2.31   2.31   2.31   2.31   2.31   2.31   2.31   2.31   2.31   2.31   2.31   2.31   2.31   2.31   2.31   2.31   2.31   2.31
    .79   -.71    .29   1.23   2.16   2.16   2.25   2.41   2.41   2.41   2.42   1.78   2.47   2.53   2.47   2.07   2.39   2.39   1.49   2.37   2.19   1.85   1.71    .77
  -4.09  -5.28  -2.65   -.50    .43   -.44    .42    .20    .43    .15   1.08    .94    .83   1.09   1.03    .92    .61   -.55   -.25   -.07    .24   1.13    .63  -1.48
  -2.54  -4.15  -2.42   -.23   -.39   -.39    .30   -.64   -.02    .04    .50    .85   1.69   1.63    .86    .25    .46   -.20   -.03    .23   -.13    .61    .67  -1.24
  -1.11  -2.63  -2.19  -1.16   -.22   -.35    .48    .43    .84   1.06   1.54   1.86   1.87   2.26   2.03    .96    .70    .88   1.13   1.18   1.26   1.04    .98    .41
   -.29  -1.26  -1.54   -.83   -.61    .00    .58   1.04   1.48   1.91   1.86    .87    .49    .84   1.68   1.17    .78   1.04   1.19   1.94   1.52   1.43   1.00   -.35
   -.35   -.78   -.87   -.84   -.83   -.60   -.49    .79   1.16   1.41    .91   -.20   -.20    .16    .74    .75    .63    .85   1.26   2.05   1.47    .79    .08   -.10
    .01   -.22   -.66   -.82   -.59   -.34   -.43   -.36   -.23   -.24   -.19   -.15   -.24   -.10    .25    .27    .38    .65    .96   1.12   1.33    .78    .24    .10
   -.05   -.17   -.25   -.32   -.30   -.28   -.29   -.22   -.19   -.19   -.08    .04   -.12   -.11   -.15   -.27   -.28   -.03    .30   -.05    .10   -.14   -.03    .05
   -.19   -.17   -.23   -.20   -.23   -.27   -.26   -.25   -.20   -.16   -.13   -.02   -.15   -.22   -.26   -.26   -.27   -.18   -.07   -.05   -.10   -.18   -.26   -.26
   -.26   -.25   -.25   -.24   -.25   -.25   -.26   -.25   -.26   -.26   -.22   -.26   -.26   -.26   -.26   -.26   -.26   -.26   -.21   -.15   -.16   -.22   -.26   -.26
   -.26   -.26   -.26   -.26   -.26   -.26   -.26   -.26   -.26   -.26   -.26   -.26   -.26   -.26   -.26   -.26   -.26   -.26   -.26   -.26   -.26   -.26   -.26   -.26
 MONTH =  7 CO2 (PPMV) MONTHLY DEVIATION,    GLOBAL MEAN =  -1.36
  -3.75  -3.75  -3.75  -3.75  -3.75  -3.75  -3.75  -3.75  -3.75  -3.75  -3.75  -3.75  -3.75  -3.75  -3.75  -3.75  -3.75  -3.75  -3.75  -3.75  -3.75  -3.75  -3.75  -3.75
  -4.70  -6.34  -6.43  -5.15  -3.87  -3.87  -3.80  -3.69  -3.69  -3.69  -3.69  -4.80  -4.15  -4.60  -4.15  -3.67  -3.65  -3.65  -4.66  -3.69  -3.67  -3.74  -3.89  -4.39
  -6.26  -8.57  -7.56  -5.89  -3.73  -3.67  -3.83  -5.84  -4.26  -3.37  -5.96  -6.23  -6.23  -5.66  -5.03  -3.58  -2.69  -5.26  -4.86  -3.84  -3.46  -3.57  -3.79  -5.71
  -6.09  -8.18  -6.73  -3.33  -3.61  -3.61  -3.59  -5.50  -3.83  -2.50  -2.40  -5.48  -1.07  -2.10  -2.75  -3.92  -2.28  -3.24  -2.46  -2.11  -2.46  -2.54  -2.26  -5.13
  -4.59  -6.42  -5.12  -2.41  -3.22  -3.53  -2.97  -2.74  -1.54   -.91   -.46   -.35   -.43    .41   -.55  -2.61  -2.39  -1.00   -.62   -.84  -1.24  -1.45  -1.54  -2.04
  -2.14  -3.18  -2.20  -1.32   -.99  -2.43  -1.62   -.84    .05    .53    .33   -.03   -.09    .32    .20  -1.13  -1.79   -.75   -.54   -.42   -.99   -.96  -1.15   -.41
   -.41   -.66   -.65   -.40   -.40   -.20   -.50   -.17    .14    .34    .19    .04    .04    .18    .15   -.18   -.92   -.07   -.44   -.22   -.70   -.39    .22    .01
    .57    .35   -.25   -.39   -.14    .07    .02   -.07    .01    .02    .05    .31    .04    .12    .24    .07   -.18    .16    .06    .49   -.31    .25    .65    .61
    .39    .20    .09    .07    .15    .16    .14    .24    .27    .28    .35    .41    .28    .29    .22    .16    .18    .36    .67    .45    .36    .30    .44    .54
    .20    .20    .19    .21    .20    .20    .20    .21    .24    .26    .30    .41    .21    .13    .17    .17    .17    .28    .43    .45    .36    .25    .17    .17
    .17    .16    .16    .18    .18    .17    .19    .21    .19    .17    .20    .17    .17    .17    .17    .17    .17    .17    .22    .27    .25    .19    .17    .17
    .17    .17    .17    .17    .17    .17    .17    .17    .17    .17    .17    .17    .17    .17    .17    .17    .17    .17    .17    .17    .17    .17    .17    .17
 MONTH =  8 CO2 (PPMV) MONTHLY DEVIATION,    GLOBAL MEAN =  -2.62
  -9.35  -9.35  -9.35  -9.35  -9.35  -9.35  -9.35  -9.35  -9.35  -9.35  -9.35  -9.35  -9.35  -9.35  -9.35  -9.35  -9.35  -9.35  -9.35  -9.35  -9.35  -9.35  -9.35  -9.35
  -9.32  -9.28 -10.60 -10.04  -9.47  -9.47  -9.41  -9.30  -9.30  -9.30  -9.29  -9.99  -9.77 -10.25  -9.77  -8.84  -9.25  -9.25  -9.78  -9.29  -9.10  -8.55  -9.15  -8.90
  -6.71  -7.35  -8.14  -8.63  -6.60  -5.17  -6.19  -9.20  -8.09  -6.30 -10.51 -10.84 -10.63 -10.14  -9.09  -7.29  -5.66  -8.05  -8.22  -7.38  -8.00  -7.82  -7.32  -8.35
  -6.86  -7.25  -6.56  -5.35  -5.12  -5.12  -5.68  -7.63  -6.73  -4.48  -4.63  -9.22  -3.81  -5.07  -5.02  -6.20  -4.78  -5.27  -5.02  -5.42  -6.86  -6.25  -5.25  -7.03
  -5.91  -6.61  -5.32  -3.21  -4.91  -5.04  -5.13  -5.00  -3.81  -2.77  -2.41  -2.81  -3.00  -1.79  -2.92  -4.92  -4.86  -3.11  -2.95  -3.37  -4.69  -4.29  -4.08  -4.08
  -2.97  -3.49  -2.08  -1.67  -1.55  -3.90  -3.80  -2.70  -1.68  -1.12  -1.47  -1.16   -.91   -.39  -1.31  -2.89  -3.80  -3.00  -2.90  -2.85  -3.95  -3.45  -3.26   -.24
   -.24   -.27   -.17   -.10   -.15    .02   -.68  -1.27   -.94   -.75   -.63    .09    .09   -.06   -.64  -1.23  -2.24  -1.55  -2.83  -2.76  -3.13  -1.56    .20    .27
    .87    .60    .11   -.14    .15    .41    .39    .15    .38    .39    .38    .51    .26    .17   -.07   -.14   -.82   -.81  -1.41   -.46  -2.09   -.39    .80    .84
    .69    .58    .45    .46    .50    .51    .48    .62    .67    .68    .68    .60    .49    .51    .49    .47    .50    .51    .80    .86    .57    .70    .75    .79
    .59    .58    .66    .69    .66    .55    .59    .65    .65    .66    .67    .67    .46    .50    .61    .61    .56    .69    .84    .86    .77    .66    .61    .61
    .61    .62    .62    .64    .66    .63    .63    .65    .63    .61    .63    .61    .61    .61    .61    .61    .61    .61    .69    .77    .68    .62    .61    .61
    .61    .61    .61    .61    .61    .61    .61    .61    .61    .61    .61    .61    .61    .61    .61    .61    .61    .61    .61    .61    .61    .61    .61    .61
 MONTH =  9 CO2 (PPMV) MONTHLY DEVIATION,    GLOBAL MEAN =  -2.38
  -8.52  -8.52  -8.52  -8.52  -8.52  -8.52  -8.52  -8.52  -8.52  -8.52  -8.52  -8.52  -8.52  -8.52  -8.52  -8.52  -8.52  -8.52  -8.52  -8.52  -8.52  -8.52  -8.52  -8.52
  -7.72  -6.47  -7.35  -7.87  -8.40  -8.40  -8.41  -8.49  -8.51  -8.56  -8.65  -8.40  -8.62  -8.59  -8.62  -8.12  -8.49  -8.47  -8.04  -8.65  -8.51  -8.00  -8.05  -7.59
  -5.62  -4.47  -4.45  -5.81  -5.45  -3.97  -4.34  -6.41  -7.09  -6.07  -7.92  -7.97  -7.78  -7.72  -7.32  -6.20  -5.51  -6.10  -6.29  -6.50  -6.99  -7.12  -6.49  -6.78
  -5.30  -4.47  -3.79  -4.16  -4.07  -4.07  -3.93  -5.08  -6.05  -4.84  -5.14  -7.03  -4.75  -4.97  -3.96  -4.08  -4.88  -4.86  -5.09  -5.76  -6.53  -5.96  -5.53  -5.78
  -5.07  -4.78  -3.50  -2.44  -3.93  -3.82  -3.94  -4.53  -4.72  -3.83  -3.84  -4.22  -4.36  -3.27  -3.81  -4.56  -4.95  -4.17  -4.25  -4.43  -4.94  -4.73  -4.68  -4.28
  -2.85  -2.80  -1.48  -1.34  -1.23  -3.20  -3.05  -2.85  -2.88  -2.46  -2.85  -1.95  -1.49  -1.10  -2.31  -3.00  -3.96  -4.15  -4.17  -3.82  -4.47  -4.06  -3.88    .02
    .02   -.16   -.05   -.03   -.07    .14   -.43  -1.72  -1.71  -1.60  -1.24    .02    .02   -.40  -1.25  -1.55  -2.39  -2.34  -4.07  -3.73  -3.75  -2.01    .21    .41
    .75    .49    .11   -.05    .25    .56    .58    .48    .73    .72    .69    .61    .33    .08   -.37   -.30   -.85  -1.28  -2.20   -.72  -2.68   -.74    .83    .85
    .78    .82    .67    .67    .62    .65    .64    .81    .90    .89    .86    .70    .62    .63    .65    .61    .66    .66    .99   1.02    .68    .90    .85    .81
    .84    .81    .94    .98    .89    .67    .76    .92    .92    .92    .90    .85    .62    .74    .90    .90    .78    .91    .99   1.02    .99    .91    .90    .90
    .90    .90    .89    .93    .94    .92    .91    .92    .91    .90    .92    .90    .90    .90    .90    .90    .90    .90    .99   1.08    .96    .91    .90    .90
    .90    .90    .90    .90    .90    .90    .90    .90    .90    .90    .90    .90    .90    .90    .90    .90    .90    .90    .90    .90    .90    .90    .90    .90
 MONTH = 10 CO2 (PPMV) MONTHLY DEVIATION,    GLOBAL MEAN =   -.83
  -3.96  -3.96  -3.96  -3.96  -3.96  -3.96  -3.96  -3.96  -3.96  -3.96  -3.96  -3.96  -3.96  -3.96  -3.96  -3.96  -3.96  -3.96  -3.96  -3.96  -3.96  -3.96  -3.96  -3.96
  -2.59  -2.04  -2.70  -3.40  -4.09  -4.09  -4.02  -3.91  -3.91  -3.91  -3.91  -3.05  -3.67  -3.43  -3.67  -3.42  -3.87  -3.86  -3.17  -3.90  -3.82  -3.53  -3.62  -3.09
    .05   1.66    .23  -1.70  -2.77  -2.07  -2.00  -2.01  -1.59  -1.31  -2.07  -1.88  -1.82  -2.22  -2.17  -1.87  -2.22  -1.51  -1.78  -2.01  -2.40  -2.92  -2.53  -1.61
  -1.09    .44    .36  -1.44  -1.99  -1.99  -1.84   -.91   -.92   -.99  -1.49  -1.85  -2.78  -2.54  -1.66   -.84  -2.23  -1.74  -2.09  -2.27  -2.11  -2.34  -2.32  -1.56
  -1.68   -.63    .14   -.66  -2.00  -1.91  -1.72  -1.76  -1.94  -1.95  -2.58  -2.95  -2.90  -2.90  -2.82  -2.29  -2.35  -2.61  -2.84  -2.80  -2.62  -2.54  -2.59  -2.13
   -.89   -.40    .25   -.48   -.42  -1.48  -1.50  -1.71  -2.13  -2.37  -2.61  -1.45  -1.01  -1.22  -2.16  -1.90  -1.95  -2.63  -2.73  -3.06  -2.72  -2.49  -2.16   1.05
   1.05    .64    .22    .17    .11    .36    .02  -1.25  -1.36  -1.44  -1.07    .15    .15   -.45  -1.20  -1.04  -1.01  -1.38  -2.60  -2.90  -2.23   -.92    .80    .97
    .81    .61    .32    .13    .36    .71    .73    .63    .83    .82    .83    .57    .38    .05   -.28   -.15   -.07   -.58  -1.30   -.47  -1.73   -.45    .92    .93
    .79    .86    .76    .72    .66    .74    .79    .83    .89    .88    .83    .64    .70    .71    .76    .79    .82    .88   1.06    .99    .72    .97    .92    .85
    .90    .86   1.01   1.03    .94    .71    .83   1.00    .94    .91    .92    .78    .73    .86    .99    .99    .91    .95    .97    .99   1.04   1.00    .99    .99
    .99    .99    .99   1.01   1.01   1.00   1.00   1.00   1.00    .99    .99    .99    .99    .99    .99    .99    .99    .99   1.07   1.14   1.10   1.03    .99    .99
    .99    .99    .99    .99    .99    .99    .99    .99    .99    .99    .99    .99    .99    .99    .99    .99    .99    .99    .99    .99    .99    .99    .99    .99
 MONTH = 11 CO2 (PPMV) MONTHLY DEVIATION,    GLOBAL MEAN =    .46
    .31    .31    .31    .31    .31    .31    .31    .31    .31    .31    .31    .31    .31    .31    .31    .31    .31    .31    .31    .31    .31    .31    .31    .31
   1.07   2.34   1.53    .93    .33    .33    .32    .28    .28    .28    .28    .81    .48    .67    .48    .58    .26    .26    .75    .35    .40    .48    .54   1.03
   3.71   5.51   3.65   1.99   -.29   -.60   -.50    .90   1.62   1.85   1.23   1.46   1.54   1.31   1.31   1.08    .53   1.55   1.43    .86    .72    .55    .76   1.86
   1.78   4.21   2.82   -.10   -.55   -.55   -.68   1.05   1.79   1.62   1.13   1.23   -.55   -.25   -.03    .60    .13    .86    .81    .24    .66    .34    .36   1.33
    .80   2.50   2.14    .85   -.61   -.58   -.69    .14   -.10   -.09   -.75  -1.02   -.84  -1.37   -.92    .09    .12   -.37   -.63   -.67   -.64   -.32   -.20   -.09
