1976-2006 CO2 CLIMATOLOGY 24  12  LON/LAT (N-S/0-360E) IN 15 DEGREE RESOLUTION,  GLB ANNUAL MEAN = 355.48  GROWTH RATE =  1.6  MISS DATA = -99.99
 357.02 357.02 357.02 357.02 357.02 357.02 357.02 357.02 357.02 357.02 357.02 357.02 357.02 357.02 357.02 357.02 357.02 357.02 357.02 357.02 357.02 357.02 357.02 357.02
 356.81 358.63 357.34 357.24 357.14 357.14 357.08 356.97 356.97 356.97 356.96 356.97 356.96 356.95 356.96 356.82 356.92 356.92 357.26 356.96 356.92 356.76 356.84 357.03
 359.55 363.96 361.36 359.00 358.18 358.70 356.81 356.95 360.14 362.60 357.04 356.94 356.77 356.72 356.64 356.93 356.27 357.19 357.56 356.83 356.80 356.50 356.43 356.63
 356.72 360.51 359.53 358.13 358.64 358.64 356.88 358.02 360.63 362.33 360.87 356.77 356.15 356.09 356.79 357.22 356.15 356.70 357.45 356.23 356.57 356.14 355.74 356.40
 356.29 358.41 357.77 355.80 358.52 358.57 356.84 357.63 358.07 358.47 357.32 356.14 356.04 355.63 355.92 356.39 356.15 356.93 356.85 356.23 355.79 355.75 355.71 356.17
 356.01 356.58 355.69 355.09 354.98 357.56 356.12 356.06 356.16 355.67 355.94 355.40 355.34 355.84 355.97 356.15 355.57 356.97 356.92 355.60 355.60 355.61 355.61 355.28
 355.28 354.85 354.40 354.39 354.37 353.72 354.32 355.32 355.35 355.18 355.02 354.30 354.30 355.29 355.62 355.12 354.85 355.35 356.96 355.79 355.68 355.24 354.58 354.84
 354.20 354.01 354.08 354.33 353.90 353.36 353.21 353.70 353.49 353.49 353.59 353.60 354.04 354.54 354.60 354.10 354.15 354.64 355.25 354.35 355.31 354.80 354.36 354.35
 353.72 353.37 353.50 353.64 353.37 353.28 353.25 353.16 353.05 353.06 353.12 353.32 353.56 353.55 353.53 353.21 353.14 353.28 353.53 353.35 353.51 353.31 353.93 354.13
 353.32 353.35 353.37 353.37 353.33 353.30 353.29 353.29 353.11 353.00 353.09 353.18 353.55 353.48 353.31 353.31 353.23 353.30 353.33 353.35 353.36 353.32 353.31 353.31
 353.31 353.34 353.37 353.32 353.24 353.28 353.30 353.29 353.30 353.31 353.24 353.31 353.31 353.31 353.31 353.31 353.31 353.31 353.36 353.40 353.36 353.32 353.31 353.31
 353.31 353.31 353.31 353.31 353.31 353.31 353.31 353.31 353.31 353.31 353.31 353.31 353.31 353.31 353.31 353.31 353.31 353.31 353.31 353.31 353.31 353.31 353.31 353.31
 MONTH =  1 CO2 (PPMV) MONTHLY DEVIATION,    GLOBAL MEAN =    .42
   2.96   2.96   2.96   2.96   2.96   2.96   2.96   2.96   2.96   2.96   2.96   2.96   2.96   2.96   2.96   2.96   2.96   2.96   2.96   2.96   2.96   2.96   2.96   2.96
   3.12   3.60   4.00   3.60   3.19   3.19   3.08   2.84   2.84   2.84   2.84   2.88   2.99   3.13   2.99   2.55   2.76   2.76   2.96   2.85   2.77   2.63   3.05   3.18
   3.97   5.31   4.02   3.35   2.39   1.99   1.51   2.66   1.93   1.49   2.85   2.91   2.87   2.81   2.46   2.05   1.49   2.61   2.41   2.41   2.81   2.40   2.35   3.43
   2.86   4.27   2.80   1.76   2.04   2.04   1.31   1.74   1.19    .61    .87   2.32    .51    .77   1.16   1.98   1.20   1.75   1.56   1.65   2.43   1.73   1.31   2.59
   2.16   3.21   2.22   1.30   1.93   1.79    .76   1.05    .53    .06    .10    .18    .18   -.52   -.23    .98   1.04    .67    .50    .63   1.09    .97    .95   1.24
    .97   1.41   1.09    .56    .06    .75    .22    .03   -.30   -.70   -.43   -.27   -.35   -.74   -.60   -.02    .61    .51    .44    .21    .75    .57    .67   -.11
   -.11   -.10   -.18   -.11   -.09   -.33   -.11   -.28   -.48   -.64   -.50   -.44   -.44   -.52   -.60   -.39    .05   -.13    .36   -.08    .16   -.23   -.78   -.56
  -1.02   -.77   -.38   -.07   -.28   -.48   -.54   -.50   -.67   -.66   -.65   -.69   -.27   -.32   -.38   -.35   -.35   -.45   -.30  -1.06   -.21   -.59   -.99   -.97
