1960-1969 MONTHLY VOLCANIC FORCING IN 45-DEGREE-LAT BANDS FROM N TO S
    1    1    1   17   33   50   67   83  100  100  100  100
    1    1    1   17   33   50   67   83  100  100  100  100
    1    1    1   17   33   50   67   83  100  100  100  100
    1    1    1   17   33   50   67   83  100  100  100  100
    1    9    8   14   15   29   34   43   27    7   21   21
    1  139  286  344  206  114   91  123  136  119   57   55
    1   58   71   78   29   39   19  120  205  217  220  181
    1   77    1    1   56   77    1    7   35    7    1    1
    8   17   24   30   34   32   36   32   27   47   40   29
  112  125   58   57    8   38  142  195  110   52   56   62
   58   77  264  348   43   20  267  395  169  123  155  117
    1   49  202  188   21   14   28    1    1    1    1    1
   50   69   97   87   61   28   43   76   69  108  222  298
   99  114  135  179  234  281  369  449  485  573  560  475
    1    1    1  361  842 1062 1051 1052 1175 1717 2035 1722
    1    1    1  188  474  871 1003 1107 1184 1302 1496 1322
  348  361  328  271  127  104  128  158  198  248  312  390
  359  375  436  534  585  652  736  738  653  522  414  303
 1110  995 1052 1271 1389 1643 2067 2121 1722 1189  786  493
 1087 1008  944  869  787  798  897  860  638  456  402  405
  447  472  453  396  301  218  228  224  219  243  242  243
  204  167  163  218  255  252  340  318  294  280  270  293
  177   78   88  113  141  141  361  402  355  327  333  360
  416  414  387  384  400  358  240  116   91  141  273  361
  335  320  305  290  275  260  245  230  215  200  185  170
  335  320  305  290  275  260  245  230  215  200  185  170
  335  320  305  290  275  260  245  230  215  200  185  170
  335  320  305  290  275  260  245  230  215  200  185  170
  155  140  125  110  130  150  170  190  210  230  207  183
  155  140  125  110  130  150  170  190  210  230  207  183
  155  140  125  110  130  150  170  190  210  230  207  183
  155  140  125  110  130  150  170  190  210  230  207  183
  160  137  113   90  170  250  330  410  490  570  551  533
  160  137  113   90  170  250  330  410  490  570  551  533
  160  137  113   90  170  250  330  410  490  570  551  533
  160  137  113   90  170  250  330  410  490  570  551  533
  514  496  477  459  440  421  403  384  366  347  329  310
  514  496  477  459  440  421  403  384  366  347  329  310
  514  496  477  459  440  421  403  384  366  347  329  310
  514  496  477  459  440  421  403  384  366  347  329  310

     -----     -----     -----     -----     -----
  NOTE: data in (12 months) by (4 lat-zones) by (10 years)
        to get actual values of optical depth use a factor of 1.e-4

