1880-1889 MONTHLY VOLCANIC FORCING IN 45-DEGREE-LAT BANDS FROM N TO S
   55   52   49   46   43   39   37   35   34   32   30   29
    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1
   27   25   24   22   20   18   18   17   17   17   17   17
    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1
   17   17   17   16   16   16   16   16   16   15   15   15
    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1
  337  380  337  293  250  103    1    1    1  103  250  517
  337  380  337  293  250  103    1    1    1  103  250  517
  337  380  337  293  250  103    1    1    1  103  250  517
  337  380  337  293  250  103    1    1    1  103  250  517
  783 1050  850  650  450  493  537  580  803 1027 1250 1200
  783 1050  850  650  450  493  537  580  803 1027 1250 1200
  783 1050  850  650  450  493  537  580  803 1027 1250 1200
  783 1050  850  650  450  493  537  580  803 1027 1250 1200
 1150 1100 1167 1233 1300 1373 1447 1520 1380 1240 1100 1050
 1150 1100 1167 1233 1300 1373 1447 1520 1380 1240 1100 1050
 1150 1100 1167 1233 1300 1373 1447 1520 1380 1240 1100 1050
 1150 1100 1167 1233 1300 1373 1447 1520 1380 1240 1100 1050
 1000  950  867  783  700  783  867  950  833  717  600  367
 1000  950  867  783  700  783  867  950  833  717  600  367
 1000  950  867  783  700  783  867  950  833  717  600  367
 1000  950  867  783  700  783  867  950  833  717  600  367
  133    1    1    1    1  133  267  400  333  267  200  207
  133    1    1    1    1  133  267  400  333  267  200  207
  133    1    1    1    1  133  267  400  333  267  200  207
  133    1    1    1    1  133  267  400  333  267  200  207
  213  220  197  173  150  183  217  250  373  497  620  633
  213  220  197  173  150  183  217  250  373  497  620  633
  213  220  197  173  150  183  217  250  373  497  620  633
  213  220  197  173  150  183  217  250  373  497  620  633
  647  660  557  453  350  267  183  100  173  247  320  430
  647  660  557  453  350  267  183  100  173  247  320  430
  647  660  557  453  350  267  183  100  173  247  320  430
  647  660  557  453  350  267  183  100  173  247  320  430

     -----     -----     -----     -----     -----
  NOTE: data in (12 months) by (4 lat-zones) by (10 years)
        to get actual values of optical depth use a factor of 1.e-4
